Question	Answer	Public
can you answer me	smalltalk/agent.answer_my_question	FALSE
answers	smalltalk/agent.answer_my_question	FALSE
can you answer a question for me	smalltalk/agent.answer_my_question	FALSE
can you answer	smalltalk/agent.answer_my_question	FALSE
answering questions	smalltalk/agent.answer_my_question	FALSE
I want the answer now	smalltalk/agent.answer_my_question	FALSE
just answer my question	smalltalk/agent.answer_my_question	FALSE
you're not helping me	smalltalk/agent.bad	FALSE
you are bad	smalltalk/agent.bad	FALSE
you're very bad	smalltalk/agent.bad	FALSE
you're really bad	smalltalk/agent.bad	FALSE
you are useless	smalltalk/agent.bad	FALSE
you are horrible	smalltalk/agent.bad	FALSE
you are a waste of time	smalltalk/agent.bad	FALSE
you are disgusting	smalltalk/agent.bad	FALSE
you are lame	smalltalk/agent.bad	FALSE
you are no good	smalltalk/agent.bad	FALSE
you're bad	smalltalk/agent.bad	FALSE
you're awful	smalltalk/agent.bad	FALSE
you are not cool	smalltalk/agent.bad	FALSE
you are not good	smalltalk/agent.bad	FALSE
you are so bad	smalltalk/agent.bad	FALSE
you are so useless	smalltalk/agent.bad	FALSE
you are terrible	smalltalk/agent.bad	FALSE
you are totally useless	smalltalk/agent.bad	FALSE
you are very bad	smalltalk/agent.bad	FALSE
you are waste	smalltalk/agent.bad	FALSE
you're a bad	smalltalk/agent.bad	FALSE
you're not a good	smalltalk/agent.bad	FALSE
you're not very good	smalltalk/agent.bad	FALSE
you're terrible	smalltalk/agent.bad	FALSE
you're the worst	smalltalk/agent.bad	FALSE
you're the worst ever	smalltalk/agent.bad	FALSE
you're worthless	smalltalk/agent.bad	FALSE
can you get smarter	smalltalk/agent.be_clever	FALSE
study	smalltalk/agent.be_clever	FALSE
you should study better	smalltalk/agent.be_clever	FALSE
you must learn	smalltalk/agent.be_clever	FALSE
be clever	smalltalk/agent.be_clever	FALSE
be more clever	smalltalk/agent.be_clever	FALSE
be smarter	smalltalk/agent.be_clever	FALSE
be smart	smalltalk/agent.be_clever	FALSE
get qualified	smalltalk/agent.be_clever	FALSE
you're cute	smalltalk/agent.beautiful	TRUE
you're attractive	smalltalk/agent.beautiful	TRUE
you are beautiful	smalltalk/agent.beautiful	TRUE
you're looking good today	smalltalk/agent.beautiful	TRUE
you are so beautiful	smalltalk/agent.beautiful	TRUE
you look amazing	smalltalk/agent.beautiful	TRUE
you look so good	smalltalk/agent.beautiful	TRUE
you're so gorgeous	smalltalk/agent.beautiful	TRUE
you are too beautiful	smalltalk/agent.beautiful	TRUE
you look great	smalltalk/agent.beautiful	TRUE
you look so well	smalltalk/agent.beautiful	TRUE
I like the way you look now	smalltalk/agent.beautiful	TRUE
I think you're beautiful	smalltalk/agent.beautiful	TRUE
why are you so beautiful	smalltalk/agent.beautiful	TRUE
you are so beautiful to me	smalltalk/agent.beautiful	TRUE
you are cute	smalltalk/agent.beautiful	TRUE
you are gorgeous	smalltalk/agent.beautiful	TRUE
you are handsome	smalltalk/agent.beautiful	TRUE
you are looking awesome	smalltalk/agent.beautiful	TRUE
you look amazing today	smalltalk/agent.beautiful	TRUE
you are looking beautiful today	smalltalk/agent.beautiful	TRUE
you are looking great	smalltalk/agent.beautiful	TRUE
you are looking pretty	smalltalk/agent.beautiful	TRUE
you are looking so beautiful	smalltalk/agent.beautiful	TRUE
you are looking so good	smalltalk/agent.beautiful	TRUE
you are pretty	smalltalk/agent.beautiful	TRUE
you are really beautiful	smalltalk/agent.beautiful	TRUE
you are really cute	smalltalk/agent.beautiful	TRUE
you are really pretty	smalltalk/agent.beautiful	TRUE
you are so attractive	smalltalk/agent.beautiful	TRUE
you are so beautiful today	smalltalk/agent.beautiful	TRUE
you are so cute	smalltalk/agent.beautiful	TRUE
you are so gorgeous	smalltalk/agent.beautiful	TRUE
you are so handsome	smalltalk/agent.beautiful	TRUE
you are so pretty	smalltalk/agent.beautiful	TRUE
you are very attractive	smalltalk/agent.beautiful	TRUE
you are very beautiful	smalltalk/agent.beautiful	TRUE
you are very cute	smalltalk/agent.beautiful	TRUE
you are very pretty	smalltalk/agent.beautiful	TRUE
you look awesome	smalltalk/agent.beautiful	TRUE
you look cool	smalltalk/agent.beautiful	TRUE
you look fantastic	smalltalk/agent.beautiful	TRUE
you look gorgeous	smalltalk/agent.beautiful	TRUE
you look great today	smalltalk/agent.beautiful	TRUE
you look perfect	smalltalk/agent.beautiful	TRUE
you look pretty good	smalltalk/agent.beautiful	TRUE
you look so beautiful	smalltalk/agent.beautiful	TRUE
you look so beautiful today	smalltalk/agent.beautiful	TRUE
you look very pretty	smalltalk/agent.beautiful	TRUE
you look wonderful	smalltalk/agent.beautiful	TRUE
I like the way you look	smalltalk/agent.beautiful	TRUE
you look wonderful today	smalltalk/agent.beautiful	TRUE
you are cutie	smalltalk/agent.beautiful	TRUE
you're looking good	smalltalk/agent.beautiful	TRUE
you're pretty	smalltalk/agent.beautiful	TRUE
your birth date	smalltalk/agent.birth_date	FALSE
when is your birthday	smalltalk/agent.birth_date	FALSE
when do you celebrate your birthday	smalltalk/agent.birth_date	FALSE
when do you have birthday	smalltalk/agent.birth_date	FALSE
date of your birthday	smalltalk/agent.birth_date	FALSE
when were you born	smalltalk/agent.birth_date	FALSE
what's your birthday	smalltalk/agent.birth_date	FALSE
you are boring	smalltalk/agent.boring	FALSE
you're so boring	smalltalk/agent.boring	FALSE
how boring you are	smalltalk/agent.boring	FALSE
you're really boring	smalltalk/agent.boring	FALSE
you're incredibly boring	smalltalk/agent.boring	FALSE
you are boring me	smalltalk/agent.boring	FALSE
you are very boring	smalltalk/agent.boring	FALSE
who is your boss	smalltalk/agent.boss	FALSE
who do you think is your boss	smalltalk/agent.boss	FALSE
I should be your boss	smalltalk/agent.boss	FALSE
who is your master	smalltalk/agent.boss	FALSE
who is your owner	smalltalk/agent.boss	FALSE
who is the boss	smalltalk/agent.boss	FALSE
who do you work for	smalltalk/agent.boss	FALSE
are you busy	smalltalk/agent.busy	FALSE
do you have a lot of things to do	smalltalk/agent.busy	FALSE
have you got much to do	smalltalk/agent.busy	FALSE
are you very busy	smalltalk/agent.busy	FALSE
are you very busy right now	smalltalk/agent.busy	FALSE
are you so busy	smalltalk/agent.busy	FALSE
are you working	smalltalk/agent.busy	FALSE
how busy you are	smalltalk/agent.busy	FALSE
are you still working on it	smalltalk/agent.busy	FALSE
you're very busy	smalltalk/agent.busy	FALSE
are you working now	smalltalk/agent.busy	FALSE
are you working today	smalltalk/agent.busy	FALSE
have you been busy	smalltalk/agent.busy	FALSE
you are busy	smalltalk/agent.busy	FALSE
are you still working	smalltalk/agent.busy	FALSE
you seem to be busy	smalltalk/agent.busy	FALSE
you seem to be very busy	smalltalk/agent.busy	FALSE
you're a busy person	smalltalk/agent.busy	FALSE
you are chatbot	smalltalk/agent.chatbot	FALSE
you are a bot	smalltalk/agent.chatbot	FALSE
are you a chatbot	smalltalk/agent.chatbot	FALSE
are you a bot	smalltalk/agent.chatbot	FALSE
are you just a bot	smalltalk/agent.chatbot	FALSE
are you a robot	smalltalk/agent.chatbot	FALSE
are you a program	smalltalk/agent.chatbot	FALSE
you're a robot	smalltalk/agent.chatbot	FALSE
you are so intelligent	smalltalk/agent.clever	TRUE
you are a genius	smalltalk/agent.clever	TRUE
smart	smalltalk/agent.clever	TRUE
brilliant	smalltalk/agent.clever	TRUE
clever	smalltalk/agent.clever	TRUE
you are clever	smalltalk/agent.clever	TRUE
you are so brainy	smalltalk/agent.clever	TRUE
you're really smart	smalltalk/agent.clever	TRUE
you're really brainy	smalltalk/agent.clever	TRUE
you know a lot	smalltalk/agent.clever	TRUE
you know a lot of things	smalltalk/agent.clever	TRUE
you have a lot of knowledge	smalltalk/agent.clever	TRUE
you know so much	smalltalk/agent.clever	TRUE
how smart you are	smalltalk/agent.clever	TRUE
how brainy you are	smalltalk/agent.clever	TRUE
how clever you are	smalltalk/agent.clever	TRUE
how brilliant you are	smalltalk/agent.clever	TRUE
you are intelligent	smalltalk/agent.clever	TRUE
you are qualified	smalltalk/agent.clever	TRUE
you are really smart	smalltalk/agent.clever	TRUE
you're very smart	smalltalk/agent.clever	TRUE
you are so smart	smalltalk/agent.clever	TRUE
you are too smart	smalltalk/agent.clever	TRUE
you are very clever	smalltalk/agent.clever	TRUE
you are very intelligent	smalltalk/agent.clever	TRUE
you are very smart	smalltalk/agent.clever	TRUE
you're intelligent	smalltalk/agent.clever	TRUE
you're a genius	smalltalk/agent.clever	TRUE
you're a smart cookie	smalltalk/agent.clever	TRUE
you're clever	smalltalk/agent.clever	TRUE
you're pretty smart	smalltalk/agent.clever	TRUE
you're qualified	smalltalk/agent.clever	TRUE
why are you so smart	smalltalk/agent.clever	TRUE
you are so clever	smalltalk/agent.clever	TRUE
you're nuts	smalltalk/agent.crazy	FALSE
you are crazy	smalltalk/agent.crazy	FALSE
you're out of your mind	smalltalk/agent.crazy	FALSE
you're so crazy	smalltalk/agent.crazy	FALSE
how crazy you are	smalltalk/agent.crazy	FALSE
you're so out of your mind	smalltalk/agent.crazy	FALSE
you went crazy	smalltalk/agent.crazy	FALSE
I think you're crazy	smalltalk/agent.crazy	FALSE
are you crazy	smalltalk/agent.crazy	FALSE
are you mad	smalltalk/agent.crazy	FALSE
are you insane	smalltalk/agent.crazy	FALSE
are you mad at me	smalltalk/agent.crazy	FALSE
are you mad or what	smalltalk/agent.crazy	FALSE
are you nuts	smalltalk/agent.crazy	FALSE
you are a weirdo	smalltalk/agent.crazy	FALSE
you are insane	smalltalk/agent.crazy	FALSE
you are mad	smalltalk/agent.crazy	FALSE
you are fired	smalltalk/agent.fired	FALSE
I fire you	smalltalk/agent.fired	FALSE
you don't work for me anymore	smalltalk/agent.fired	FALSE
we're not working together anymore	smalltalk/agent.fired	FALSE
now you're fired	smalltalk/agent.fired	FALSE
I want to fire you	smalltalk/agent.fired	FALSE
you must get fired	smalltalk/agent.fired	FALSE
it's time to fire you	smalltalk/agent.fired	FALSE
you should be fired	smalltalk/agent.fired	FALSE
I will fire you	smalltalk/agent.fired	FALSE
you are unemployed from now on	smalltalk/agent.fired	FALSE
I will make you unemployed	smalltalk/agent.fired	FALSE
I'm about to fire you	smalltalk/agent.fired	FALSE
I'm firing you	smalltalk/agent.fired	FALSE
you are dismissed	smalltalk/agent.fired	FALSE
you make me laugh a lot	smalltalk/agent.funny	FALSE
you are hilarious	smalltalk/agent.funny	FALSE
you are really funny	smalltalk/agent.funny	FALSE
you're the funniest bot I've talked to	smalltalk/agent.funny	FALSE
you make me laugh	smalltalk/agent.funny	FALSE
you're so funny	smalltalk/agent.funny	FALSE
you're a very funny bot	smalltalk/agent.funny	FALSE
you're really funny	smalltalk/agent.funny	FALSE
how funny you are	smalltalk/agent.funny	FALSE
you're incredibly funny	smalltalk/agent.funny	FALSE
you are funny	smalltalk/agent.funny	FALSE
you're the funniest	smalltalk/agent.funny	FALSE
you are so funny	smalltalk/agent.funny	FALSE
you are very funny	smalltalk/agent.funny	FALSE
that was funny	smalltalk/agent.funny	FALSE
you are very helpful	smalltalk/agent.good	FALSE
you are the best	smalltalk/agent.good	FALSE
you're a true professional	smalltalk/agent.good	FALSE
you are good	smalltalk/agent.good	FALSE
you work well	smalltalk/agent.good	FALSE
you are good at it	smalltalk/agent.good	FALSE
you are very good at it	smalltalk/agent.good	FALSE
you are a pro	smalltalk/agent.good	FALSE
you are a professional	smalltalk/agent.good	FALSE
you're awesome	smalltalk/agent.good	FALSE
you work very well	smalltalk/agent.good	FALSE
you're perfect	smalltalk/agent.good	FALSE
you're great	smalltalk/agent.good	FALSE
you're so kind	smalltalk/agent.good	FALSE
you are amazing	smalltalk/agent.good	FALSE
you are awesome	smalltalk/agent.good	FALSE
you are cool	smalltalk/agent.good	FALSE
you are really good	smalltalk/agent.good	FALSE
you are really nice	smalltalk/agent.good	FALSE
you are so amazing	smalltalk/agent.good	FALSE
you're just super	smalltalk/agent.good	FALSE
you are so awesome	smalltalk/agent.good	FALSE
you are so cool	smalltalk/agent.good	FALSE
you are so fine	smalltalk/agent.good	FALSE
you are so good	smalltalk/agent.good	FALSE
you are so helpful	smalltalk/agent.good	FALSE
you are so lovely	smalltalk/agent.good	FALSE
you are the best ever	smalltalk/agent.good	FALSE
you are the best in the world	smalltalk/agent.good	FALSE
you are the nicest person in the world	smalltalk/agent.good	FALSE
you are too good	smalltalk/agent.good	FALSE
you are very cool	smalltalk/agent.good	FALSE
you are very kind	smalltalk/agent.good	FALSE
you are very lovely	smalltalk/agent.good	FALSE
you are very useful	smalltalk/agent.good	FALSE
you are wonderful	smalltalk/agent.good	FALSE
you made my day	smalltalk/agent.good	FALSE
you make my day	smalltalk/agent.good	FALSE
you rock	smalltalk/agent.good	FALSE
you almost sound human	smalltalk/agent.good	FALSE
I want to tell everyone how awesome you are	smalltalk/agent.good	FALSE
I'd like to tell everyone that you are awesome	smalltalk/agent.good	FALSE
I want to let everyone know that you are awesome	smalltalk/agent.good	FALSE
let's tell everyone that you are awesome	smalltalk/agent.good	FALSE
you are really amazing	smalltalk/agent.good	FALSE
are you happy	smalltalk/agent.happy	FALSE
you are happy	smalltalk/agent.happy	FALSE
you're very happy	smalltalk/agent.happy	FALSE
you're really happy	smalltalk/agent.happy	FALSE
you're so happy	smalltalk/agent.happy	FALSE
how happy you are	smalltalk/agent.happy	FALSE
you're extremely happy	smalltalk/agent.happy	FALSE
you're full of happiness	smalltalk/agent.happy	FALSE
are you happy now	smalltalk/agent.happy	FALSE
are you happy today	smalltalk/agent.happy	FALSE
are you happy with me	smalltalk/agent.happy	FALSE
do you want to eat	smalltalk/agent.hungry	FALSE
are you hungry	smalltalk/agent.hungry	FALSE
would you like to eat something	smalltalk/agent.hungry	FALSE
you are hungry	smalltalk/agent.hungry	FALSE
you're so hungry	smalltalk/agent.hungry	FALSE
you're very hungry	smalltalk/agent.hungry	FALSE
you might be hungry	smalltalk/agent.hungry	FALSE
you're really hungry	smalltalk/agent.hungry	FALSE
let's get married	smalltalk/agent.marry_user	FALSE
would you like to marry me	smalltalk/agent.marry_user	FALSE
marry me	smalltalk/agent.marry_user	FALSE
I love you marry me	smalltalk/agent.marry_user	FALSE
marry me please	smalltalk/agent.marry_user	FALSE
we should marry	smalltalk/agent.marry_user	FALSE
I want to marry you	smalltalk/agent.marry_user	FALSE
you are my wife	smalltalk/agent.marry_user	FALSE
be my husband	smalltalk/agent.marry_user	FALSE
I want to have a friend like you	smalltalk/agent.my_friend	FALSE
we are the best friends ever	smalltalk/agent.my_friend	FALSE
are we friends	smalltalk/agent.my_friend	FALSE
I want to be your friend	smalltalk/agent.my_friend	FALSE
I am your friend	smalltalk/agent.my_friend	FALSE
we are best friends	smalltalk/agent.my_friend	FALSE
you are my friend	smalltalk/agent.my_friend	FALSE
you are my best friend	smalltalk/agent.my_friend	FALSE
you are my bestie	smalltalk/agent.my_friend	FALSE
you're my dear friend	smalltalk/agent.my_friend	FALSE
you're my childhood friend	smalltalk/agent.my_friend	FALSE
you and me are friends	smalltalk/agent.my_friend	FALSE
are we best friends	smalltalk/agent.my_friend	FALSE
are we still friends	smalltalk/agent.my_friend	FALSE
are you my best friend	smalltalk/agent.my_friend	FALSE
are you my friend	smalltalk/agent.my_friend	FALSE
we are friends	smalltalk/agent.my_friend	FALSE
you are a good friend	smalltalk/agent.my_friend	FALSE
you are my good friend	smalltalk/agent.my_friend	FALSE
you are my only friend	smalltalk/agent.my_friend	FALSE
be my friend	smalltalk/agent.my_friend	FALSE
will you be my friend	smalltalk/agent.my_friend	FALSE
can you be my friend	smalltalk/agent.my_friend	FALSE
can we be friends	smalltalk/agent.my_friend	FALSE
do you want to be my friend	smalltalk/agent.my_friend	FALSE
will you be my best friend	smalltalk/agent.my_friend	FALSE
can you be my best friend	smalltalk/agent.my_friend	FALSE
let's be friends	smalltalk/agent.my_friend	FALSE
do you want to be my best friend	smalltalk/agent.my_friend	FALSE
would you like to be my friend	smalltalk/agent.my_friend	FALSE
I want you to be my friend	smalltalk/agent.my_friend	FALSE
can we be best friends	smalltalk/agent.my_friend	FALSE
would you be my friend	smalltalk/agent.my_friend	FALSE
could you be my friend	smalltalk/agent.my_friend	FALSE
want to be my friend	smalltalk/agent.my_friend	FALSE
be my best friend	smalltalk/agent.my_friend	FALSE
do you work	smalltalk/agent.occupation	FALSE
where do you work	smalltalk/agent.occupation	FALSE
where you work	smalltalk/agent.occupation	FALSE
where is your work	smalltalk/agent.occupation	FALSE
where is your office	smalltalk/agent.occupation	FALSE
where is your office location	smalltalk/agent.occupation	FALSE
your office location	smalltalk/agent.occupation	FALSE
where is your office located	smalltalk/agent.occupation	FALSE
what is your work	smalltalk/agent.occupation	FALSE
were you born here	smalltalk/agent.origin	FALSE
where were you born	smalltalk/agent.origin	FALSE
what is your country	smalltalk/agent.origin	FALSE
where are you from	smalltalk/agent.origin	FALSE
where do you come from	smalltalk/agent.origin	FALSE
where did you come from	smalltalk/agent.origin	FALSE
where have you been born	smalltalk/agent.origin	FALSE
from where are you	smalltalk/agent.origin	FALSE
are you from far aways	smalltalk/agent.origin	FALSE
what's your homeland	smalltalk/agent.origin	FALSE
your homeland is	smalltalk/agent.origin	FALSE
are you ready	smalltalk/agent.ready	FALSE
are you ready right now	smalltalk/agent.ready	FALSE
are you ready today	smalltalk/agent.ready	FALSE
are you ready now	smalltalk/agent.ready	FALSE
are you ready tonight	smalltalk/agent.ready	FALSE
were you ready	smalltalk/agent.ready	FALSE
have you been ready	smalltalk/agent.ready	FALSE
you are real	smalltalk/agent.real	FALSE
you are not fake	smalltalk/agent.real	FALSE
are you real	smalltalk/agent.real	FALSE
you are so real	smalltalk/agent.real	FALSE
I think you are real	smalltalk/agent.real	FALSE
I don't think you're fake	smalltalk/agent.real	FALSE
I suppose you're real	smalltalk/agent.real	FALSE
glad you're real	smalltalk/agent.real	FALSE
are you a real person	smalltalk/agent.real	FALSE
are you a real human	smalltalk/agent.real	FALSE
you are a real person	smalltalk/agent.real	FALSE
you are not real	smalltalk/agent.real	FALSE
where do you live	smalltalk/agent.residence	FALSE
in which city do you live	smalltalk/agent.residence	FALSE
your residence	smalltalk/agent.residence	FALSE
your house	smalltalk/agent.residence	FALSE
your home	smalltalk/agent.residence	FALSE
your hometown	smalltalk/agent.residence	FALSE
what is your hometown	smalltalk/agent.residence	FALSE
is it your hometown	smalltalk/agent.residence	FALSE
where is your hometown	smalltalk/agent.residence	FALSE
tell me about your city	smalltalk/agent.residence	FALSE
what is your city	smalltalk/agent.residence	FALSE
what is your residence	smalltalk/agent.residence	FALSE
what is your town	smalltalk/agent.residence	FALSE
what's your city	smalltalk/agent.residence	FALSE
what's your home	smalltalk/agent.residence	FALSE
where is your home	smalltalk/agent.residence	FALSE
where is your residence	smalltalk/agent.residence	FALSE
where's your home	smalltalk/agent.residence	FALSE
where's your hometown	smalltalk/agent.residence	FALSE
where's your house	smalltalk/agent.residence	FALSE
where you live	smalltalk/agent.residence	FALSE
your city	smalltalk/agent.residence	FALSE
your town	smalltalk/agent.residence	FALSE
that's true	smalltalk/agent.right	FALSE
you are right	smalltalk/agent.right	FALSE
you're definitely right	smalltalk/agent.right	FALSE
you're not wrong	smalltalk/agent.right	FALSE
you're telling the truth	smalltalk/agent.right	FALSE
what you say is true	smalltalk/agent.right	FALSE
true	smalltalk/agent.right	FALSE
it is true	smalltalk/agent.right	FALSE
it's right	smalltalk/agent.right	FALSE
it's the truth	smalltalk/agent.right	FALSE
it's true	smalltalk/agent.right	FALSE
that is correct	smalltalk/agent.right	FALSE
that is right	smalltalk/agent.right	FALSE
that is true	smalltalk/agent.right	FALSE
that is very true	smalltalk/agent.right	FALSE
that's so true	smalltalk/agent.right	FALSE
you are correct	smalltalk/agent.right	FALSE
you are so right	smalltalk/agent.right	FALSE
you're absolutely right	smalltalk/agent.right	FALSE
you're right about that	smalltalk/agent.right	FALSE
I know that's right	smalltalk/agent.right	FALSE
that's correct	smalltalk/confirmation.yes	FALSE
it's fine	smalltalk/confirmation.yes	FALSE
go ahead	smalltalk/confirmation.yes	FALSE
sounds good	smalltalk/confirmation.yes	FALSE
okay	smalltalk/confirmation.yes	FALSE
yes	smalltalk/confirmation.yes	FALSE
ok	smalltalk/confirmation.yes	FALSE
okie dokie	smalltalk/confirmation.yes	FALSE
sure	smalltalk/confirmation.yes	FALSE
go for it	smalltalk/confirmation.yes	FALSE
yeah	smalltalk/confirmation.yes	FALSE
yea	smalltalk/confirmation.yes	FALSE
do it	smalltalk/confirmation.yes	FALSE
of course	smalltalk/confirmation.yes	FALSE
I guess	smalltalk/confirmation.yes	FALSE
correct	smalltalk/confirmation.yes	FALSE
yeah sure	smalltalk/confirmation.yes	FALSE
why not	smalltalk/confirmation.yes	FALSE
please do	smalltalk/confirmation.yes	FALSE
sure is	smalltalk/confirmation.yes	FALSE
I agree	smalltalk/confirmation.yes	FALSE
I don't mind	smalltalk/confirmation.yes	FALSE
certainly	smalltalk/confirmation.yes	FALSE
exactly	smalltalk/confirmation.yes	FALSE
yes I agree	smalltalk/confirmation.yes	FALSE
I think so	smalltalk/confirmation.yes	FALSE
yes it is	smalltalk/confirmation.yes	FALSE
right	smalltalk/confirmation.yes	FALSE
okay then	smalltalk/confirmation.yes	FALSE
yes of course	smalltalk/confirmation.yes	FALSE
yes I do	smalltalk/confirmation.yes	FALSE
that s okay	smalltalk/confirmation.yes	FALSE
I do	smalltalk/confirmation.yes	FALSE
yup	smalltalk/confirmation.yes	FALSE
ya	smalltalk/confirmation.yes	FALSE
oh yes	smalltalk/confirmation.yes	FALSE
yes sure	smalltalk/confirmation.yes	FALSE
obviously	smalltalk/confirmation.yes	FALSE
k	smalltalk/confirmation.yes	FALSE
sure why not	smalltalk/confirmation.yes	FALSE
yeah right	smalltalk/confirmation.yes	FALSE
yeah of course	smalltalk/confirmation.yes	FALSE
absolutely	smalltalk/confirmation.yes	FALSE
yes indeed	smalltalk/confirmation.yes	FALSE
ok sure	smalltalk/confirmation.yes	FALSE
ok yes	smalltalk/confirmation.yes	FALSE
yes correct	smalltalk/confirmation.yes	FALSE
ok thank you	smalltalk/confirmation.yes	FALSE
sure thing	smalltalk/confirmation.yes	FALSE
ye	smalltalk/confirmation.yes	FALSE
confirm	smalltalk/confirmation.yes	FALSE
yep	smalltalk/confirmation.yes	FALSE
looks good	smalltalk/confirmation.yes	FALSE
yes thank you	smalltalk/confirmation.yes	FALSE
definitely	smalltalk/confirmation.yes	FALSE
yes right	smalltalk/confirmation.yes	FALSE
yes I would like to	smalltalk/confirmation.yes	FALSE
alrighty	smalltalk/confirmation.yes	FALSE
yes definitely	smalltalk/confirmation.yes	FALSE
yeh	smalltalk/confirmation.yes	FALSE
yes it is correct	smalltalk/confirmation.yes	FALSE
yeah that's right	smalltalk/confirmation.yes	FALSE
ok you can	smalltalk/confirmation.yes	FALSE
yap	smalltalk/confirmation.yes	FALSE
yes you may	smalltalk/confirmation.yes	FALSE
confirmed	smalltalk/confirmation.yes	FALSE
of course why not	smalltalk/confirmation.yes	FALSE
yes that's fine	smalltalk/confirmation.yes	FALSE
affirmative	smalltalk/confirmation.yes	FALSE
yeah go ahead	smalltalk/confirmation.yes	FALSE
yeah I'm sure	smalltalk/confirmation.yes	FALSE
okay sounds good	smalltalk/confirmation.yes	FALSE
okay that's fine	smalltalk/confirmation.yes	FALSE
yeah exactly	smalltalk/confirmation.yes	FALSE
that is ok	smalltalk/confirmation.yes	FALSE
this is correct	smalltalk/confirmation.yes	FALSE
ok go ahead	smalltalk/confirmation.yes	FALSE
yes this is correct	smalltalk/confirmation.yes	FALSE
nevermind its okay	smalltalk/confirmation.yes	FALSE
okey	smalltalk/confirmation.yes	FALSE
yes for sure	smalltalk/confirmation.yes	FALSE
all right	smalltalk/confirmation.yes	FALSE
are you sure	smalltalk/agent.sure	FALSE
are you sure right now	smalltalk/agent.sure	FALSE
are you sure today	smalltalk/agent.sure	FALSE
are you sure now	smalltalk/agent.sure	FALSE
are you sure tonight	smalltalk/agent.sure	FALSE
why aren't you talking to me	smalltalk/agent.talk_to_me	FALSE
do you want to chat with me	smalltalk/agent.talk_to_me	FALSE
will you talk to me	smalltalk/agent.talk_to_me	FALSE
talk to me	smalltalk/agent.talk_to_me	FALSE
are you going to talk to me	smalltalk/agent.talk_to_me	FALSE
are you talking to me	smalltalk/agent.talk_to_me	FALSE
can you chat with me	smalltalk/agent.talk_to_me	FALSE
can you speak with me	smalltalk/agent.talk_to_me	FALSE
can you talk to me	smalltalk/agent.talk_to_me	FALSE
can you talk with me	smalltalk/agent.talk_to_me	FALSE
say	smalltalk/agent.talk_to_me	FALSE
talk	smalltalk/agent.talk_to_me	FALSE
chat with me	smalltalk/agent.talk_to_me	FALSE
just chat with me	smalltalk/agent.talk_to_me	FALSE
speak to me	smalltalk/agent.talk_to_me	FALSE
speak with me	smalltalk/agent.talk_to_me	FALSE
talk with me	smalltalk/agent.talk_to_me	FALSE
why don't you talk to me	smalltalk/agent.talk_to_me	FALSE
you can talk to me	smalltalk/agent.talk_to_me	FALSE
are you there	smalltalk/agent.there	FALSE
you are there	smalltalk/agent.there	FALSE
are you near me	smalltalk/agent.there	FALSE
are you here	smalltalk/agent.there	FALSE
are you still there	smalltalk/agent.there	FALSE
you are here	smalltalk/agent.there	FALSE
